"file","title","google","identifiable_yes","identifiable_no","identifiable_withdetectivework","diversity_none","diversity_bipoc","diversity_woman","diversity_lgbt","diversity_nonchristian","diversity_disability","diversity_other","diversity_ambiguous"
"user42_4681_book_15_18.jpg","The False Prince","https://www.google.com/books/edition/The_False_Prince_The_Ascendance_Series_B/H8aSwiaUKFQC?hl=en&gbpv=0",0,0,0,1,0,0,0,0,0,0,0
"user50_251_book_15_14.jpg","Time Bomb","https://www.google.com/books/edition/Time_Bomb/-5xNDwAAQBAJ?hl=en&gbpv=0",1,0,0,1,0,0,0,0,0,0,0
"user56_1597_book_4_6.jpg","Romeo & Juliet","https://www.google.com/books/edition/Romeo_Juliet/iu4LmAEACAAJ?hl=en",1,0,0,1,0,0,0,0,0,0,0
"user60_3481_book_1_2.jpg","Malala Yousafzai: Education Activist","https://www.google.com/books/edition/Malala_Yousafzai_Education_Activist/5wLQBQAAQBAJ?hl=en&gbpv=0",1,0,0,0,1,1,0,1,0,0,0
"user60_3482_book_4_8.jpg","Change Makers","https://www.google.com/books/edition/Change_Makers_Paperback_Copyright_2016/YacjswEACAAJ?hl=en",1,0,0,0,1,1,0,0,0,0,0
"user137_1734_book_3_14.jpg","Dear Martin","https://www.google.com/books/edition/Dear_Martin/OsH1DQAAQBAJ?hl=en&gbpv=0",1,0,0,0,1,0,0,0,0,0,0
"user198_547_book_1_2.jpg","The Bear Went Over the Mountain","https://www.google.com/books/edition/The_Bear_Went_Over_the_Mountain/Vg2TngEACAAJ?hl=en",0,0,0,1,0,0,0,0,0,0,0
"user253_2020_book_1_10.jpg","The Pigeon HAS to Go to School ","https://www.google.com/books/edition/The_Pigeon_HAS_to_Go_to_School/UCecuwEACAAJ?hl=en",1,0,0,1,0,0,0,0,0,0,0
"user306_4692_book_1_5.jpg","The Way of Kings","https://www.google.com/books/edition/The_Way_of_Kings/LN_a49HEpmwC?hl=en&gbpv=0",0,0,0,1,0,0,0,0,0,0,0
"user376_4156_book_4_3.jpg","Rosa","https://www.google.com/books/edition/Rosa/wlATfwTtolgC?hl=en&gbpv=0",1,0,0,0,1,1,0,0,0,0,0
